variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
n_fruits_per_tree_tp4;posnorm;75;NA;120;apples;;;
fruit_weight_tp4;posnorm;80;NA;100;g;;;
n_fruits_per_tree_tp3;posnorm;70;NA;180;apples;;;
lower_optimum_fruits_per_tree;posnorm;70;NA;80;apples;;;
width_optimum_bearing_range;posnorm;10;NA;20;apples;;;
fruit_weight_tp3;posnorm;8;NA;30;g;;;
n_fruits_per_tree_tp2;posnorm;80;NA;600;apples;Fruchtansatz;;
fruit_weight_tp2;posnorm;0.2;NA;1.85;g;;;
n_flower_clusters_tp1;posnorm;70;NA;300;clusters;;;
fruit_diameter_tp4;posnorm;7.2;NA;8.6;cm;;;
fruit_diameter_tp3;posnorm;2.3;NA;4;cm;;;
percentage_visibly_damaged_tp2;tnorm_0_1;0.025;NA;0.1;%/100;;2;
percentage_visibly_damaged_tp3;tnorm_0_1;0.1;NA;0.15;%/100;;3;
percentage_visibly_damaged_tp4;tnorm_0_1;0.15;NA;0.2;%/100;;4;
