variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
desired_number_of_fruits;const;100;NA;100;apples;"""Zielzahl"" Handausdünnung";3;x
n_trees_per_ha;const;3125;NA;3125;trees/ha;;4;x
weight_increase_change_overbearing;norm;-0.2;NA;-0.1;%/100;;2 und 3;s
weight_increase_change_underbearing;norm;0.1;NA;0.5;%/100;;2 und 3;s
daily_weight_increase_tp2_tp3;posnorm;0.25;NA;0.5;g/day;abgeleitet von Lakso et al 1995;2;x
daily_weight_increase_tp3_tp4;posnorm;1.4;NA;2;g/day;abgeleitet von Lakso et al 1995 and 2017;3;x
daily_weight_increase_tp4_harvest;posnorm;1.4;NA;2;g/day;abgeleitet von Lakso et al 1995 and 2017;4;x
expected_fruit_weight_tp2;posnorm;0.27;NA;1.85;g;eigene daten;1 und 2;x
june_drop_increase_bad_seed_structure;posnorm;0.05;NA;1.38;%/100;;2;x
june_drop_increase_overbearing;posnorm;0.2;NA;0.3;%/100;;2;s
june_drop_increase_stress_and_supply_problem;posnorm;0.1;NA;0.15;%/100;;2;s
manual_thinning_mistake;posnorm;1;NA;12;%;var_CV;3;s
n_flowers_per_cluster;posnorm;4;NA;7;digit;Meist 5 bei Gala 6 bei GS66 (Frostbonitur 2023);1;x
percentage_diameter_increase_tp4_harvest;posnorm;0.05;NA;0.15;%/100;currently not used;;
timespan_tp1_harvest;posnorm;120;NA;180;days;Von der Blüte zur Ernte (müssen nochmal optimiert werden, sortenspezifisch!);;s
timespan_tp1_tp2;posnorm;15;NA;20;days;Von der Büte bis zur Fruchtausdünnung;;
timespan_tp1_tp3;posnorm;28;NA;42;days;Von der Blüte bis zum Ende des Junifalls (4 bis 6 Wochen nach der Blüte);;
timespan_tp4_harvest;posnorm;25;NA;35;days;ca. 4 Wochen vor der Ernte;;x
additional_pre_harvest_fruit_drop_storm;tnorm_0_1;0.01;NA;0.3;%;;4;s
aphids_damage_tp2_tp3;tnorm_0_1;0.005;NA;0.14;%/100;;2;x
aphids_damage_tp3_tp4;tnorm_0_1;0.005;NA;0.14;%/100;;3;x
aphids_damage_tp4_harvest;tnorm_0_1;0.005;NA;0.14;%/100;;4;x
aphids_risk_tp2_tp3;tnorm_0_1;0.03;NA;0.05;%/100;;2;x
aphids_risk_tp3_tp4;tnorm_0_1;0.03;NA;0.05;%/100;;3;x
aphids_risk_tp4_harvest;tnorm_0_1;0.03;NA;0.05;%/100;;4;x
bad_seed_structure_deformation_tp2;tnorm_0_1;0.05;NA;0.45;%/100;;2;x
bad_seed_structure_reduce_pollinator_support;tnorm_0_1;0.35;NA;0.55;%/100;;2;x
bird_damage_tp2_tp3;tnorm_0_1;0.0025;NA;0.0125;%/100;;2;x
bird_damage_tp3_tp4;tnorm_0_1;0.005;NA;0.025;%/100;;3;x
bird_damage_tp4_harvest;tnorm_0_1;0.0075;NA;0.0375;%/100;;4;x
bird_risk_tp2_tp3;tnorm_0_1;0.1;NA;0.4;%/100;;2;x
bird_risk_tp3_tp4;tnorm_0_1;0.7;NA;0.9;%/100;;3;x
bird_risk_tp4_harvest;tnorm_0_1;0.7;NA;0.9;%/100;;4;x
bitter_pit_damage_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.12;%/100;;3;x
bitter_pit_damage_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.12;%/100;;4;x
bitter_pit_damage_tp3_tp4;tnorm_0_1;0.05;NA;0.2;%/100;;3;x
bitter_pit_damage_tp4_harvest;tnorm_0_1;0.05;NA;0.2;%/100;;4;x
bitter_pit_risk_leaf_fertilization_tp3_tp4;tnorm_0_1;0.03;NA;0.55;%/100;;3;x
bitter_pit_risk_leaf_fertilization_tp4_harvest;tnorm_0_1;0.03;NA;0.55;%/100;;4;x
bitter_pit_risk_tp3_tp4;tnorm_0_1;0.03;NA;0.77;%/100;;3;x
bitter_pit_risk_tp4_harvest;tnorm_0_1;0.03;NA;0.77;%/100;;4;x
codling_moth_damage_tp2_tp3;tnorm_0_1;0.002;NA;0.01;%/100;;2;x
codling_moth_damage_tp3_tp4;tnorm_0_1;0.002;NA;0.01;%/100;;3;x
codling_moth_damage_tp4_harvest;tnorm_0_1;0.002;NA;0.01;%/100;;4;x
